3/6/2017-9:40:26;1;Brendo ;1496497226568;click;index.html;item;a;206;386
3/6/2017-9:42:15;1;Brendo ;1496497335385;click;questionario.html#;Q:1:H:1-2:C;input;222;431
3/6/2017-9:42:20;1;Brendo ;1496497340427;click;questionario.html#;Q:2:H:1-1 list-group-item;a;77;250
3/6/2017-9:44:43;1;Brendo ;1496497483918;click;questionario.html#;D:2:H:1-2 btn btn-info btn-lg;button;271;751
3/6/2017-9:45:10;1;Brendo ;1496497510647;click;questionario.html#;D:2:H:1-1 close;button;1000;190
3/6/2017-9:45:53;1;Brendo ;1496497553600;click;questionario.html#;;label;302;761
3/6/2017-9:45:53;1;Brendo ;1496497553627;click;questionario.html#;Q:2:H:1-2:E;input;302;761
3/6/2017-9:45:57;1;Brendo ;1496497557914;click;questionario.html#;Q:3:H:1-1 list-group-item;a;87;228
3/6/2017-9:48:33;1;Brendo ;1496497713369;click;questionario.html#;Q:3:H:1-2:C;input;228;455
3/6/2017-9:48:36;1;Brendo ;1496497716290;click;questionario.html#;Q:4:H:1-1 list-group-item;a;78;328
3/6/2017-9:51:0;1;Brendo ;1496497860539;click;questionario.html#;;label;297;452
3/6/2017-9:51:0;1;Brendo ;1496497860554;click;questionario.html#;Q:4:H:1-2:A;input;297;452
3/6/2017-9:51:3;1;Brendo ;1496497863623;click;questionario.html#;Q:5:H:1-1 list-group-item;a;62;366
3/6/2017-9:52:24;1;Brendo ;1496497944797;click;questionario.html#;D:5:H:1-2 btn btn-info btn-lg;button;245;680
3/6/2017-9:54:16;1;Brendo ;1496498056075;click;questionario.html#;D:5:H:1-1 btn btn-default ;button;939;356
3/6/2017-9:57:22;1;Brendo ;1496498242617;click;questionario.html#;;label;336;565
3/6/2017-9:57:22;1;Brendo ;1496498242634;click;questionario.html#;Q:5:H:1-2:E;input;336;565
3/6/2017-9:57:27;1;Brendo ;1496498247940;click;questionario.html#;Q:6:H:1-1 list-group-item;a;72;405
3/6/2017-10:1:36;1;Brendo ;1496498496187;click;questionario.html#;Q:6:H:1-2:D;input;222;733
3/6/2017-10:2:0;1;Brendo ;1496498520798;click;questionario.html#;Q:7:H:1-1 list-group-item;a;105;352
3/6/2017-10:2:6;1;Brendo ;1496498526754;click;questionario.html#;Q:5:H:1-1 list-group-item;a;91;377
3/6/2017-10:2:9;1;Brendo ;1496498529386;click;questionario.html#;Q:7:H:1-1 list-group-item;a;101;471
3/6/2017-10:2:10;1;Brendo ;1496498530323;click;questionario.html#;Q:6:H:1-1 list-group-item;a;112;430
3/6/2017-10:2:16;1;Brendo ;1496498536538;click;questionario.html#;Q:7:H:1-1 list-group-item;a;100;461
3/6/2017-10:3:32;1;Brendo ;1496498612795;click;questionario.html#;D:7:H:1-2 btn btn-info btn-lg;button;275;608
3/6/2017-10:4:27;1;Brendo ;1496498667259;click;questionario.html#;D:7:H:1-1 btn btn-default ;button;976;377
3/6/2017-10:4:29;1;Brendo ;1496498669234;click;questionario.html#;;label;283;487
3/6/2017-10:4:29;1;Brendo ;1496498669253;click;questionario.html#;Q:7:H:1-2:B;input;283;487
3/6/2017-10:4:32;1;Brendo ;1496498672464;click;questionario.html#;Q:8:H:1-2 list-group-item;a;60;486
3/6/2017-10:7:1;1;Brendo ;1496498821554;click;questionario.html#;D:8:H:1-2 btn btn-info btn-lg;button;254;579
3/6/2017-10:7:36;1;Brendo ;1496498856092;click;questionario.html#;D:8:H:1-2 btn btn-default ;button;951;379
3/6/2017-10:8:29;1;Brendo ;1496498909298;click;questionario.html#;C:8:H:1-2 btn btn-info btn-lg;button;388;591
3/6/2017-10:9:0;1;Brendo ;1496498940672;click;questionario.html#;C:8:H:1-2 close;button;1148;186
3/6/2017-10:9:6;1;Brendo ;1496498946820;click;questionario.html#;Q:8:H:1-2:C;input;228;434
