student,certas,erradas,perdidas,score,desvio_acum,desvio,tempo,diaMomento,sentindoAgora,horasDeSono,expectativaVestibular,desempenhoEscola,preparacaoVestibular,cursinho,maisAfinidadeArea,menosAfinidadeArea,sexo,aprovado,sadness,neutral,contempt,disgust,anger,surprise,fear,happiness
aluno1,17,12,11,5.86,102,7.03,104,3,1,6,4,3,4,1,3,2,1,2,0.166938,0.236699,0.038817,0.001949,0.004181,0.153921,0.012116,0.169735
aluno2,8,15,17,3.47,59,5.13,81,3,2,6,3,3,3,1,1,4,1,1,0.091681,0.139383,0.022712,0.000703,0.00305,0.029509,0.001597,0.101299
aluno3,8,20,12,2.85,69,4.92,76,3,2,8,4,4,3,1,4,1,1,1,0.131947,0.198387,0.023013,0.004585,0.003477,0.092273,0.006929,0.129891
aluno4,20,20,0,5,130,6.5,92,4,3,5,4,4,4,2,1,4,2,2,0.020561,0.098537,0.009809,0.000748,0.00696,0.066657,0.001799,0.063383
aluno5,18,21,1,4.61,118,6.05,76,4,3,6,4,4,4,1,2,3,1,1,0.082074,0.177747,0.048175,0.016454,0.089763,0.059114,0.02683,0.073242
aluno6,24,10,6,7.05,136,8,90,3,2,3,4,5,3,1,3,2,1,2,0.104555,0.138993,0.021296,0.00927,0.055255,0.021661,0.001579,0.088537
aluno7,11,27,2,2.89,92,4.84,88,4,2,6,3,4,3,2,3,1,1,1,0.159358,0.180163,0.045919,0.004067,0.012202,0.038093,0.006543,0.07561
aluno8,16,24,0,4,117,5.85,90,4,2,6,2,3,3,2,1,2,2,1,0.035818,0.095721,0.025819,0.005218,0.008355,0.038435,0.000788,0.070232
aluno9,14,10,16,5.83,87,7.25,94,3,2,5,4,3,3,1,3,1,2,2,0.143875,0.21777,0.034601,0.00816,0.061998,0.071361,0.010096,0.135105
aluno10,22,17,1,5.64,143,7.33,95,4,1,7,4,3,2,1,1,3,1,2,0.0396,0.165463,0.015743,0.022993,0.01444,0.046223,0.002485,0.15025
aluno11,20,20,0,5,132,6.6,115,4,2,7,3,4,3,2,1,4,2,2,0.014274,0.127109,0.00806,0.000971,0.005396,0.018404,0.000351,0.126416
aluno12,15,3,22,8.33,79,8.77,92,3,2,4,3,4,4,2,2,1,1,2,0.136439,0.150819,0.031996,0.001806,0.012129,0.022097,0.004875,0.031615
aluno13,10,25,5,2.85,88,5.02,92,3,2,5,4,3,3,1,2,4,2,1,0.07475,0.167625,0.027826,0.001214,0.012228,0.091635,0.00099,0.116979
aluno14,12,7,21,6.31,70,7.36,76,4,3,5,4,3,5,1,1,4,2,2,0.078733,0.11844,0.040001,0.005326,0.007173,0.025119,0.003999,0.070282
aluno15,19,14,7,5.75,114,6.9,99,5,2,7,2,3,1,1,3,1,1,2,0.085872,0.161927,0.039167,0.000772,0.000875,0.022056,0.020762,0.124481
aluno16,23,17,0,5.75,145,7.25,91,4,2,8,4,3,3,1,1,4,2,2,0.018599,0.163405,0.002472,0.000993,0.000536,0.127288,0.001691,0.115161
aluno17,9,16,15,3.59,64,5.12,110,4,3,6,5,4,4,2,1,4,2,1,0.023716,0.14443,0.00635,0.000994,0.007496,0.034549,0.000453,0.140647
aluno18,11,21,8,3.43,90,5.62,94,4,2,5,4,4,3,1,2,4,1,1,0.179165,0.224994,0.025563,0.010349,0.011877,0.025533,0.007347,0.162314
aluno19,13,19,8,4.06,88,5.5,94,4,2,5,4,3,3,1,2,1,2,1,0.026237,0.125775,0.027178,0.002559,0.022522,0.032078,0.000416,0.112771
aluno20,21,11,8,6.56,129,8,99,3,2,2,4,4,4,2,1,4,2,2,0.022199,0.146217,0.055157,0.003911,0.016384,0.100611,0.002076,0.072905
aluno21,14,11,15,5.6,88,7.03,90,3,2,2,4,4,4,1,1,2,2,2,0.028519,0.10688,0.036956,0.002179,0.01891,0.04597,0.001809,0.076281
aluno22,1,2,37,3.33,7,4.66,90,3,2,7,4,4,4,1,4,1,1,1,0.061603,0.189123,0.029047,0.002105,0.003552,0.024651,0.009522,0.180738
aluno23,9,15,16,3.75,61,5.08,101,3,1,7,3,4,3,1,2,3,1,1,0.070232,0.125639,0.021757,0.002197,0.012619,0.042768,0.004329,0.098756
aluno24,12,17,11,4.13,82,5.65,105,1,1,5,3,4,3,2,3,1,1,1,0.113717,0.141345,0.012024,0.00278,0.017534,0.048867,0.00675,0.072201
aluno25,16,8,16,6.66,92,7.66,91,3,2,6,3,3,2,1,1,2,2,2,0.098824,0.11924,0.01396,0.001126,0.000867,0.046332,0.005039,0.008686
aluno26,13,12,15,5.2,85,6.8,93,2,2,5,3,3,3,2,3,2,2,2,0.090236,0.190469,0.099858,0.007591,0.033729,0.044341,0.001021,0.120556
aluno27,15,25,0,3.75,112,5.6,80,3,2,5,3,3,3,1,3,1,1,1,0.189497,0.219152,0.043294,0.011151,0.009586,0.067788,0.00301,0.132116
