questao,sadness,neutral,contempt,disgust,anger,surprise,fear,happiness,dificuldade,acertos,entropia
q1,0.063188,0.87203,0.012521,0.004842,0.009125,0.01446,0.003832,0.020002,1,62.5,0.100530877738
q2,0.050326,0.909038,0.011262,0.001617,0.005333,0.009876,0.001176,0.011372,2,37.5,0.143869658854
q3,0.056401,0.89711,0.007639,0.003427,0.004907,0.009186,0.001458,0.019873,1,55.55,0.281828012942
q4,0.045742,0.912946,0.004497,0.001369,0.001979,0.010359,0.001249,0.021859,2,16.66,0.232128145415
q5,0.053087,0.914068,0.005384,0.000819,0.002769,0.009938,0.000798,0.013138,2,10,0.126314517453
q6,0.069863,0.871349,0.008715,0.00181,0.006559,0.020386,0.002236,0.019083,2,33.33,0.466167297758
q7,0.067268,0.889682,0.005764,0.001179,0.007665,0.012921,0.00212,0.013402,2,16.66,0.115532476971
q8,0.065706,0.88062,0.007979,0.002133,0.012175,0.012335,0.003274,0.015778,1,75,0.221175662698
q9,0.061132,0.906116,0.005181,0.000742,0.006444,0.008486,0.001184,0.010716,2,20,0.239437751474
q10,0.069528,0.88831,0.010056,0.001025,0.007473,0.013188,0.00198,0.008441,2,17.64,0.266100391202
q11,0.04211,0.8917,0.007078,0.000958,0.004185,0.03077,0.002041,0.021158,2,53.84,0.245962853024
q12,0.057274,0.87745,0.007998,0.002488,0.011506,0.026997,0.002252,0.014035,2,29.41,0.236479932804
q13,0.054751,0.864888,0.009795,0.001942,0.012422,0.023468,0.004122,0.028612,1,66.66,0.290444231294
q14,0.073061,0.880988,0.011225,0.002261,0.014244,0.014873,0.001295,0.002053,2,31.25,0.174436196177
q15,0.067573,0.862479,0.006848,0.00143,0.004001,0.017269,0.001996,0.038404,2,64.28,0.466272113307
q16,0.076732,0.876151,0.004516,0.000962,0.002394,0.019203,0.002057,0.017985,1,61.9,0.355897081224
q17,0.073204,0.87664,0.011328,0.001645,0.003747,0.021525,0.003152,0.00876,1,55,0.222286786862
q18,0.056793,0.903896,0.00451,0.001135,0.005635,0.024117,0.001558,0.002355,1,86.36,0.0842624287762
q19,0.045704,0.90268,0.009142,0.002201,0.013225,0.016338,0.00229,0.008421,2,13.04,0.121816424674
q20,0.061743,0.869134,0.011973,0.005777,0.015046,0.015479,0.004358,0.01649,2,34.78,0.260035136919
q21,0.043948,0.889376,0.023206,0.003416,0.008578,0.020868,0.003789,0.006819,2,54.16,0.110339964141
q22,0.056415,0.872449,0.010261,0.00286,0.016475,0.017759,0.002738,0.021043,1,26.08,0.324659791071
q23,0.063954,0.870379,0.00839,0.002479,0.012901,0.024457,0.002715,0.014724,2,32,0.334857327237
q24,0.100232,0.854898,0.008414,0.001885,0.007371,0.011314,0.001136,0.014751,1,52,0.528970319253
q25,0.078929,0.865935,0.012526,0.001492,0.005975,0.01156,0.002267,0.021317,2,26.92,0.358062615075
q26,0.095755,0.836037,0.017418,0.001931,0.006541,0.012995,0.002649,0.026675,1,80,0.387635604859
q27,0.066073,0.879277,0.013683,0.001961,0.008189,0.013236,0.000977,0.016604,1,44,0.209346864965
q28,0.071927,0.834978,0.016761,0.00169,0.016716,0.010557,0.000904,0.046466,1,69.23,0.497648321431
q29,0.073135,0.884903,0.00969,0.001497,0.00561,0.012373,0.000938,0.011853,1,80,0.298333317898
q30,0.071463,0.862018,0.020993,0.002212,0.011288,0.020609,0.00191,0.009506,1,76,0.446476087081
q31,0.085647,0.861096,0.010321,0.001699,0.006026,0.019512,0.00161,0.01409,1,69.23,0.310092689412
q32,0.093464,0.85843,0.015281,0.001467,0.007851,0.010348,0.000612,0.012547,1,60,0.289291382378
q33,0.0711,0.867115,0.016727,0.001245,0.005319,0.016061,0.001222,0.021211,2,53.84,0.408766164873
q34,0.056126,0.893476,0.008116,0.002301,0.005521,0.019012,0.001426,0.014023,2,61.53,0.285839689732
q35,0.066546,0.884753,0.011652,0.001625,0.010422,0.014532,0.001274,0.009198,2,19.23,0.283645657819
q36,0.06371,0.896859,0.009127,0.001309,0.004626,0.017816,0.001379,0.005176,2,11.53,0.134347111821
q37,0.101687,0.853353,0.010275,0.001474,0.005737,0.015283,0.001614,0.010576,2,46.15,0.401514788814
q38,0.068432,0.894627,0.009527,0.001416,0.007567,0.00972,0.001277,0.007435,2,33.33,0.239209566409
q39,0.074107,0.842471,0.01119,0.001984,0.005641,0.017063,0.003301,0.044243,2,74.07,0.447806100469
q40,0.052876,0.895645,0.013301,0.001129,0.003732,0.025831,0.000984,0.006503,2,66.66,0.456459325712
